date;consumption
01.01.2020;30.1
01.02.2020;32.2
01.03.2020;34.2
01.04.2020;34.3
01.05.2020;34.4
01.06.2020;35
01.07.2020;35
01.08.2020;35
01.09.2020;36
01.10.2020;37
01.11.2020;38
01.12.2020;39
01.01.2021;40
01.02.2021;40.2
01.03.2021;41
01.04.2021;42
01.05.2021;44
01.06.2021;45
01.07.2021;45.2
01.08.2021;46
01.09.2021;46
01.10.2021;50.1
01.11.2021;50.3
01.12.2021;50.5
01.01.2022;50.8
01.02.2022;51
01.03.2022;52
01.04.2022;53
01.05.2022;54
01.06.2022;55
01.07.2022;56
01.08.2022;57
01.09.2022;58
01.10.2022;59.5
01.11.2022;60
01.12.2022;60
01.01.2023;61
01.02.2023;62
01.03.2023;62.2
01.04.2023;63
01.05.2023;64.5
01.06.2023;65
01.07.2023;66
01.08.2023;67
01.09.2023;68
01.10.2023;69
01.11.2023;70
01.12.2023;72
